This is the result file of the different benchmark tests.

The number in () after each tests shows how many SQL commands the particular
test did.  As one test may have many different parameters this gives only
a rough picture of what was done.  Check the source for more information :)

Keep in mind that one can't compare benchmarks run with different --cmp
options. The --cmp options sets the all limits according to the worst
limit for all server in the benchmark.

Numbers marked with '+' are estimated according to previous runs because
the query took longer than a given time-limit to finish. The estimation
shouldn't be far from the real result thought.

Numbers marked with '?' contains results that gave wrong result. This can only
be used as an indication of how long it took for the server to produce a wrong
result :)

Numbers marked with '*' are tests that was run a different number times
than the test in the first column.  The reason for this is normally that the
marked test was run with different options that affects the number of tests
or that the test was from another version of the MySQL benchmarks.

Hope this will give you some idea how each db is performing at what thing ....
Hope you like it .... Luuk & Monty (1997)

Column 1 is in seconds. All other columns are presented relative
to this. 1.00 is the same, bigger numbers indicates slower

The test was run with limits from: mysql,pg

The result logs which where found and the options:
 1 mysql-mysql_5.5.20_ddefault             : MySQL 5.5.20 --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  default
 2 mysql-mysql_5.5.20_debug                : MySQL 5.5.20 debug --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  debug
 3 mysql-mysql_5.5.20_engine_heap          : MySQL 5.5.20 --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --create-options=ENGINE=HEAP --only-missing-tests
  engine-heap
 4 mysql-mysql_5.5.20_gcc_O2               : MySQL 5.5.20 --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  gcc-O2
 5 mysql-mysql_5.5.20_omit_frame_pointer   : MySQL 5.5.20 --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  omit-frame-pointer
 6 mysql-mysql_5.5.20_skip_grants          : MySQL 5.5.20 --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  skip-grants
 7 mysql-mysql_5.5.20_static               : MySQL 5.5.20 --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  static

===========================================================================================================
Operation                    |         1|         2|         3|         4|         5|         6|         7|
                             |mysql-mysq|mysql-mysq|mysql-mysq|mysql-mysq|mysql-mysq|mysql-mysq|mysql-mysq|
-----------------------------------------------------------------------------------------------------------
Relative results per test (First column is in seconds):                                                   |
-----------------------------------------------------------------------------------------------------------
ATIS                         |    233.00|     1.897|     1.266|     0.974|     0.957|     0.970|     0.953|
alter-table                  |     63.00|     1.048|     0.921|     0.921|     1.000|     0.937|     0.984|
big-tables                   |    280.00|     1.950|          |     1.032|     0.957|     1.000|     0.986|
connect                      |    195.00|     1.472|     0.933|     1.000|     1.000|     0.995|     0.990|
create                       |   1232.00|     0.988|     0.995|     0.942|     0.941|     0.996|     0.931|
insert                       |    279.00|     1.975|          |     1.179|     0.971|     1.032|     0.996|
select                       |    300.00|     2.847|     1.173|     0.980|     0.977|     0.990|     0.990|
wisconsin                    |    258.00|     1.403|     0.888|     0.981|     0.942|     0.977|     0.981|
-----------------------------------------------------------------------------------------------------------
The results per operation:                                                                                |
-----------------------------------------------------------------------------------------------------------
alter_table_add (992)        |     61.00|     1.066|     0.934|     0.934|     1.016|     0.934|     0.984|
book-keeping (11)            |      1.00|     0.000|    *0.000|     0.000|     0.000|     1.000|     0.000|
connect (50000)              |     20.00|     1.100|     1.050|     1.050|     1.000|     0.950|     1.050|
connect+select_1_row (50000) |     26.00|     1.115|     1.000|     1.000|     1.000|     1.000|     0.962|
connect+select_simple (50000)|     23.00|     1.087|     1.000|     1.000|     1.087|     1.000|     1.000|
count (100)                  |      2.00|     4.500|          |     1.000|     1.000|     1.000|     1.500|
count_distinct (7000)        |     19.00|     3.368|     0.579|     1.000|     1.000|     0.947|     1.000|
count_distinct_2 (7000)      |     29.00|     2.621|     0.966|     1.000|     0.966|     1.000|     0.966|
count_distinct_big (720)     |     17.00|     1.765|    *0.706|     1.000|     0.941|     1.000|     0.882|
count_distinct_group (7000)  |     21.00|     3.619|     1.048|     1.048|     1.000|     1.000|     1.000|
count_distinct_group_on_key (|     22.00|     3.045|     1.182|     0.955|     0.909|     1.000|     0.955|
