+---------+------------+-------------+
| db_name | table_name | cardinality |
+---------+------------+-------------+
| dbt3    | customer   |     4500000 |
| dbt3    | lineitem   |   179998372 |
| dbt3    | nation     |          25 |
| dbt3    | orders     |    45000000 |
| dbt3    | part       |     6000000 |
| dbt3    | partsupp   |    24000000 |
| dbt3    | region     |           5 |
| dbt3    | supplier   |      300000 |
+---------+------------+-------------+
+---------+------------+-----------------------+--------------+--------------------+
| db_name | table_name | index_name            | prefix_arity | avg_frequency      |
+---------+------------+-----------------------+--------------+--------------------+
| dbt3    | customer   | PRIMARY               |            1 |                  1 |
| dbt3    | customer   | i_c_nationkey         |            1 |             180000 |
| dbt3    | lineitem   | PRIMARY               |            1 |  3.999963822222222 |
| dbt3    | lineitem   | PRIMARY               |            2 |                  1 |
| dbt3    | lineitem   | i_l_shipdate          |            1 |  71258.26286619161 |
| dbt3    | lineitem   | i_l_suppkey_partkey   |            1 | 29.999728666666666 |
| dbt3    | lineitem   | i_l_suppkey_partkey   |            2 |  7.502999330267886 |
| dbt3    | lineitem   | i_l_partkey           |            1 | 29.999728666666666 |
| dbt3    | lineitem   | i_l_suppkey           |            1 |  599.9945733333333 |
| dbt3    | lineitem   | i_l_receiptdate       |            1 |  70449.46066536203 |
| dbt3    | lineitem   | i_l_orderkey          |            1 |  3.999963822222222 |
| dbt3    | lineitem   | i_l_orderkey_quantity |            1 |  3.999963822222222 |
| dbt3    | lineitem   | i_l_orderkey_quantity |            2 | 1.0406014143207671 |
| dbt3    | lineitem   | i_l_commitdate        |            1 |  72992.04055150041 |
| dbt3    | nation     | PRIMARY               |            1 |                  1 |
| dbt3    | nation     | i_n_regionkey         |            1 |                  5 |
| dbt3    | orders     | PRIMARY               |            1 |                  1 |
| dbt3    | orders     | i_o_orderdate         |            1 | 18703.241895261846 |
| dbt3    | orders     | i_o_custkey           |            1 | 15.000350008166857 |
| dbt3    | part       | PRIMARY               |            1 |                  1 |
| dbt3    | partsupp   | PRIMARY               |            1 |                  4 |
| dbt3    | partsupp   | PRIMARY               |            2 |                  1 |
| dbt3    | partsupp   | i_ps_partkey          |            1 |                  4 |
| dbt3    | partsupp   | i_ps_suppkey          |            1 |                 80 |
| dbt3    | region     | PRIMARY               |            1 |                  1 |
| dbt3    | supplier   | PRIMARY               |            1 |                  1 |
| dbt3    | supplier   | i_s_nationkey         |            1 |              12000 |
+---------+------------+-----------------------+--------------+--------------------+
+---------+------------+-----------------+------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------+-------------+--------------------+--------------------+
| db_name | table_name | column_name     | min_value                                                                                            | max_value                                                                                                                            | nulls_ratio | avg_length         | avg_frequency      |
+---------+------------+-----------------+------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------+-------------+--------------------+--------------------+
| dbt3    | customer   | c_custkey       | 1                                                                                                    | 4500000                                                                                                                              |           0 |                  4 |                  1 |
| dbt3    | customer   | c_name          | Customer#000000001                                                                                   | Customer#004500000                                                                                                                   |           0 |                 18 |                  1 |
| dbt3    | customer   | c_address       |     yaP00NZn4mxvyQmF6lR5jP1                                                                          | zzzzYCVde4JzsDMaJGzPWKCJ                                                                                                             |           0 | 24.997584444444445 |                  1 |
| dbt3    | customer   | c_nationkey     | 0                                                                                                    | 24                                                                                                                                   |           0 |                  4 |             180000 |
| dbt3    | customer   | c_phone         | 10-100-106-1617                                                                                      | 34-999-998-5763                                                                                                                      |           0 |                 15 | 1.0000582256122468 |
| dbt3    | customer   | c_acctbal       | -999.99                                                                                              | 9999.99                                                                                                                              |           0 |                  8 |  4.159872208725748 |
| dbt3    | customer   | c_mktsegment    | AUTOMOBILE                                                                                           | MACHINERY                                                                                                                            |           0 |  9.000133555555555 |             900000 |
| dbt3    | customer   | c_comment       | accounts about the accounts affix slyly regular instructions. furiously regular asymptotes are slyly | waters x-ray. express, ironic dependencies wake slyly furiously express requests. fluffily bold asymptotes cajole a                  |           0 |   72.4963468888889 | 1.0165861681026886 |
| dbt3    | lineitem   | l_orderkey      | 1                                                                                                    | 180000000                                                                                                                            |           0 |                  4 |  3.999963822222222 |
| dbt3    | lineitem   | l_partkey       | 1                                                                                                    | 6000000                                                                                                                              |           0 |                  4 | 29.999728666666666 |
| dbt3    | lineitem   | l_suppkey       | 1                                                                                                    | 300000                                                                                                                               |           0 |                  4 |  599.9945733333333 |
| dbt3    | lineitem   | l_linenumber    | 1                                                                                                    | 7                                                                                                                                    |           0 |                  4 |  25714053.14285714 |
| dbt3    | lineitem   | l_quantity      | 1                                                                                                    | 50                                                                                                                                   |           0 |                  8 |         3599967.44 |
| dbt3    | lineitem   | l_extendedprice | 900.71                                                                                               | 104949                                                                                                                               |           0 |                  8 |  83.12254128225992 |
| dbt3    | lineitem   | l_discount      | 0                                                                                                    | 0.1                                                                                                                                  |           0 |                  8 | 16363488.363636363 |
| dbt3    | lineitem   | l_tax           | 0                                                                                                    | 0.08                                                                                                                                 |           0 |                  8 | 19999819.111111112 |
| dbt3    | lineitem   | l_returnflag    | A                                                                                                    | R                                                                                                                                    |           0 |                  1 | 59999457.333333336 |
| dbt3    | lineitem   | l_linestatus    | F                                                                                                    | O                                                                                                                                    |           0 |                  1 |           89999186 |
